rank,age,total_prize_usd,n_players
1,21,143009616.62,6584
2,20,131377454.91000001,6905
3,22,127522101.4,5892
4,19,124905410.82,6519
5,23,121144929.92,4983
6,24,114310812.03,4020
7,18,88639717.57,5401
8,25,81843010.9,3185
9,26,55348483.07,2526
10,27,51759867.690000005,1912
11,17,47693540.09,3696
12,16,29125674.64,2232
13,28,24849260.09,1463
14,29,19104338.88,1082
15,30,11920346.57,836
16,15,9050002.25,989
17,31,7641336.98,648
18,32,6765789.71,474
19,33,4379079.7700000005,397
20,14,3146815.64,421
21,34,2704749.56,310
22,35,1517378.6700000002,208
23,13,1257745.09,141
24,36,974116.13,153
25,37,766951.11,116
26,38,481319.03,87
27,39,462100.88,71
28,40,220695.84999999998,38
29,41,105609.81,28
30,47,59742.3,9
31,44,58336.7,14
32,42,45145.28999999999,18
33,43,34301.78999999999,16
34,12,32497.87,31
35,53,31628.460000000003,9
36,48,28802.12,9
37,52,24535.629999999997,11
38,55,24520,4
39,49,19451.52,10
40,50,19411.23,11
41,54,19022.51,3
42,56,18000,3
43,11,15425.51,27
44,46,14424.76,10
45,45,12653.66,10
46,64,10667,2
47,51,10015,3
48,58,8869.5,4
49,57,7913.02,5
50,61,7067,2
51,62,3000,1
52,1823,3000,1
53,10,2700.44,12
54,59,1009.1800000000001,2
55,2,943.15,2
56,60,900,2
57,1,656.14,5
58,9,370.53,3
59,8,103.39,2
60,66,54.11,1
61,67,54.11,1
62,71,35.190000000000005,1
